test_number,exam_title,source_pdf,question_number,question_text,option_A,option_B,option_C,option_D,correct_letter,correct_option_text,rationale
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,45,Economic factors that businesses generally examine when conducting an environmental scan include,"demographics, new laws, and social trends.","inflation, investor confidence, and interest rates.","investor confidence, demographics, and new laws.","inflation, investor confidence, and demographics.",B,"inflation, investor confidence, and interest rates.","Inflation, investor confidence, and interest rates. Businesses generally examine six categories of information when conducting an environmental scan: the economy, demographics, society and culture, competition, government, and technology. Economic factors that business should pay attention to include inflation, investor confidence, and interest rates, as well as the stage of the business cycle, unemployment rates, tax rates, currency exchange rates, and foreign economic conditions. Demographics are the physical and social characteristics of the population. Businesses consider social trends, or changes in society and culture, so that they can remain sensitive to customer needs and wants. Businesses may also examine the general competition, brand competition, and substitute products during an environmental scan. Even within a private enterprise system, the government still affects business decision-making, so businesses often research changing laws and regulations, monetary and fiscal policies, import/export restrictions, etc. Lastly, businesses examine new developments in technology to determine challenges as well as opportunities that may result."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,46,A benefit of using project management software is that it,provides job training for team members.,eliminates computer coding problems.,reduces the need to monitor costs.,creates a variety of evaluative reports.,D,creates a variety of evaluative reports.,"Creates a variety of evaluative reports. Project management software has many applications and features that help businesspeople effectively manage both short- and long-term projects. One application of effective project management software is the ability to generate reports that summarize a variety of information, such as expenses, timing, and activity data. Some software can provide cost and variance analyses. Depending on the type of software being used, it may also allow users the ability to integrate word processing functions to create custom or free-format reports. Because data are entered manually, project management software cannot eliminate the coding problems related to human error. Project management software does not provide job training, nor does it reduce the need to monitor costs."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,47,"A company switched to a new database, but only the IT professionals in charge of the change were aware of it until it had already occurred. The company failed to",communicate data change.,adapt to new technology.,attend to industry trends.,track changes in data.,A,communicate data change.,"Communicate data change. When data changes, companies should communicate these changes to all people who are affected, including employees, customers, etc., not just those who are actively involved with the changes. There is no indication that the company has failed to adapt to new technology, track changes in data, or attend to industry trends."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,48,What project-planning tool helps businesses effectively plan and use time?,Schedules,Objectives,Guidelines,Policies,A,Schedules,"Schedules. When planning a project, businesses often develop schedules to identify what tasks need to be done and how long it will take to perform those tasks. The use of schedules helps a business organize work and establish completion dates to make sure the work is done on time. Scheduling an effective use of time helps a business achieve the objectives, or goals, of the project. Policies are guidelines that businesses follow when making decisions about projects. Objectives, policies, and guidelines are other project-planning tools, but they do not involve planning the use of time."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,49,A type of security problem that involves deceiving or cheating a business out of money or property is,pilferage.,burglary.,fraud.,robbery.,C,fraud.,"Fraud. Deceiving or cheating an individual or a business out of money or property is fraud. Customers, employees, vendors, and others may commit fraud against a business. There are many types of fraud including internal theft, payroll fraud, and computer fraud. Burglary is any illegal entry into a building to commit a theft. Robbery is theft that involves the use of force, violence, or fear. Pilferage is theft of small sums of money or inexpensive items."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,50,The process of converting resources into goods and services is called,marketing.,entrepreneurship.,production.,refinement.,C,production.,"Production. The process of converting resources into goods and services is called production. This process makes resources more useful to ultimate consumers and industrial users. Marketing is all those functions involved in getting goods, services, and ideas to the final user. Refinement is the process of making ongoing product improvements. Entrepreneurship involves taking the risks of business ownership."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,51,Which of the following quality-control tools is a graphical representation of two variables that is used to determine cause and effect:,Histogram,Scatter diagram,Flow chart,Check sheet,B,Scatter diagram,"Scatter diagram. A scatter diagram, or scatter plot, is a graphical representation of two variables that is used to determine cause and effect. A histogram shows the distribution of a variable. A check sheet is simply a form for collecting data on the spot. A flow chart is used to analyze a sequence of events and uncover the relationships within it."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,52,What is required to maintain favorable relationships with vendors?,Full disclosure,Ongoing cooperation,Occasional interaction,Limited communication,B,Ongoing cooperation,"Ongoing cooperation. When a business is continuously willing to work with other businesses (e.g., vendors) to achieve their mutual goals, it is exhibiting ongoing cooperation. Ongoing cooperation involves a willingness to negotiate fairly and to communicate (interact) openly and honestly on a continuous basis. These actions help build a trusting and favorable relationship. In most situations, a company does not need to fully disclose all of its business information to its vendors—only relevant information."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,53,"A company that wishes to lower its risk management costs might start its own __________ insurance company, which is a type of corporate self-insurance.",captive,medical malpractice,professional liability,compulsory,A,captive,"Captive. A captive insurance company is one that is wholly owned by a parent company and is a form of self- insurance. The parent company is able to pay its premiums to its own captive insurer to protect the company against particular forms of risk. There are a number of reasons that a company may form its own captive insurer, many of which are focused on lowering the costs of risk management. Professional liability insurance protects businesses against claims of negligence. While it may be covered by a captive insurer, it is most often covered by a third-party insurer. Medical malpractice insurance is a form of professional liability insurance. Compulsory insurance is a term for any type of insurance that is required by law."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,54,Which of the following is an example of a buyer placing an advance order:,"In January, Lindsey ordered outdoor seasonal goods from a vendor without providing specific styles, sizes, or colors.","On Tuesday, Katherine placed an order for 22 cases of paper towels to replenish depleted stock.","Fred ordered a 2' X 4' sign imprinted with the company's logo, which he wants to pick up on Monday.",Alan placed a large order on March 10 for a new video game that is to be released on June 1.,D,Alan placed a large order on March 10 for a new video game that is to be released on June 1.,"Alan placed a large order on March 10 for a new video game that is to be released on June 1. An advance order is a regular order that is placed now with delivery requested at a future time (e.g., weeks, months). Because the item is new, Alan wants to make sure that he orders enough games to meet the anticipated demand upon its release date. Katherine placed a reorder, which is ordering items that have been previously ordered. Fred placed a special order, which is a request for a custom item that a vendor does not normally carry in stock. Lindsey placed a blanket order. A blanket order is an order that covers all or part of a retailer's seasonal requirements. Blanket orders typically are placed several months before the season and do not contain detailed specifications or shipping dates."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,55,"On what type of purchase order are you most likely to find the following information: This order covers the MRE Manufacturing Company's purchase of ½"" rubber gaskets, Model # 62376 metal washers, and ""Y"" PVC piping beginning April 10, 2022 through March 31, 2024. The prices stated in your quotation dated January 31, 2020 are effective until March 31, 2024.",Blanket,Service,Referral,Custom,A,Blanket,"Blanket. A blanket order is an order that covers all or part of a business's product requirements for a certain period of time. A special order is a request for a custom product or a product that a vendor does not normally carry in stock. A service order is a request for service, such as an equipment repair or installation. A referral is a recommendation rather than a type of purchase order."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,56,"In supply chain management, holding costs (including warehouse expenses and costs associated with theft or shrinkage) fluctuate based on the amount of output created by the production process. Holding costs are an example of __________ costs.",variable,direct,fixed,order,A,variable,"Variable. Variable costs change based on the level of output from production. If more units are produced than are sold, holding costs (warehousing, pilferage, taxes, etc.) will increase. Fixed costs are not related to the amount of output produced. Direct costs are related to the specific unit being produced and include material and labor costs. Order costs are those related to making a purchase of materials and are examples of costs that are both direct and variable."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,57,"When a business analyst is finished working on a project, they should then",clarify the project's primary business objectives.,evaluate the effectiveness of the project's solutions.,attempt to understand the existing processes that are in place.,determine the primary stakeholders related to the project.,B,evaluate the effectiveness of the project's solutions.,"Evaluate the effectiveness of the project's solutions. Once a business analysis project has been completed, a business analyst should evaluate their work to determine whether the project had the intended outcomes. Determining the primary stakeholders related to the project, attempting to understand the existing processes that are in place, and clarifying the project's business objectives are all steps of business analysis that should be completed before evaluating the project's effectiveness."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,58,A business orders 10% more widgets than it needs because the supply of and the demand for widgets have been difficult to forecast in recent months. This is an example of a business ordering __________ inventory.,buffer,maintenance,perpetual,customary,A,buffer,"Buffer. A business carries buffer inventory when the supply of and demand for goods are uncertain. If the demand goes up and supply goes down, having buffer inventory helps the business cover its needs until supply is stable and available. Maintenance inventory refers to items the business uses to maintain the facility such as cleaning supplies and light bulbs. Perpetual inventory is a record of inventory information that is continuously updated. Customary inventory is sometimes used to describe the regularly stocked goods that the business carries."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,59,"When negotiating terms with a vendor, a business states that it wants all orders shipped within 24 hours of order placement. What negotiating tactic is the business using?",Bargaining,Silence,Deadline driven,Limited authority,C,Deadline driven,"Deadline driven. Establishing and stating deadlines is one tactic that businesses often use when negotiating with vendors. By providing the vendor with specific deadlines (e.g., shipping orders within 24 hours of order placement), the business is making sure that its requests are met. Limited authority is a negotiation strategy in which one party claims that they do not have the authority to meet certain requests. Bargaining involves “give- and-take” tactics by both parties to reach an agreement. Silence involves not speaking and is a good negotiating tactic to use when the discussion becomes heated or when the other party does not like what is being said."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,60,Which of the following is an example of a packaging issue that a business might negotiate with a vendor:,Implementing an electronic data exchange system to place orders,Extending product warranties from 12 months to 18 months,Requesting that the vendor waive restocking fees for returned products,Using labels and boxes that contain the business's logo,D,Using labels and boxes that contain the business's logo,"Using labels and boxes that contain the business's logo. Businesses, including those that market generic and private brands, often negotiate terms with their vendors about ways in which products are labeled, boxed, and packaged. The use of an electronic data exchange system is a technological consideration. Restocking fees are a factor affecting the terms of sale. Warranties are a product-performance issue."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,61,Which of the following types of regulations have a direct impact on operations management:,"Advertising, environmental, antitrust","Environmental, employment and labor, insurance","Antitrust, tax codes, employment and labor","Privacy, antitrust, employment and labor",B,"Environmental, employment and labor, insurance","Environmental, employment and labor, insurance. Environmental regulations are designed to protect the environment and natural resources. Many aspects of operations are directly affected by environmental law, including location, supply chains, transportation, and manufacturing. Employment and labor laws also affect operations as they relate to regulations affecting human resources. Insurance law also touches many aspects including manufacturing processes and human resources management. Advertising regulation is unlikely to directly affect operations management. Antitrust laws may affect some aspects of supply chain management but also affect other areas of business management. Tax codes affect operations management only indirectly, if at all. Privacy regulation doesn't always affect operations management; where it does, it only affects certain industries."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,62,"When Mark starts a new project at work, he thinks through and plans the specific steps that he will need to take to achieve the outcomes that he desires. Mark is engaging in",process thinking.,agile project management.,goal setting.,critical thinking.,A,process thinking.,"Process thinking. This type of thinking focuses on the step-by-step processes that will contribute to achieving a specific goal. Since every outcome is a result of at least one process (and usually multiple processes), process thinking is an excellent way to plan ahead for maximum success. Mark is demonstrating process thinking in this example—not necessarily agile project management, critical thinking, or goal setting. Agile project management involves making continuous improvements to a project over time. Critical thinking is the act of reflecting on and processing information in an objective manner to form a judgment. Goal setting involves determining objectives that you would like to accomplish in a set amount of time."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,63,A company created a new production process that decreased the cooling time required for heat-treated manufactured parts. This method enabled employees to handle the parts more quickly in the next production step. The new production process was created in response to,regulations.,product design.,human factors.,technology.,C,human factors.,"Human factors. The process was created by considering how employees are affected when handling heat- treated parts. Technology may have helped create the process, but employees' ability to handle the parts more quickly was the reason for the process change. There is no indication that regulations or product design were considerations in the process change."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,64,A business process design should seek to achieve simplicity because complex designs,result in more errors.,must be validated.,cannot be automated.,require documentation.,A,result in more errors.,"Result in more errors. The design of a process should be as simple as possible to avoid unnecessary steps which can cause more errors to occur. Each step in the process should be validated and documented regardless of its simplicity or complexity. Automation should be avoided unless it results in a more efficient process. While it's unadvisable and difficult to automate a complex process, it is not impossible."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,65,"Organizational costs, revenue, and profitability are of limited use in measuring supply chain performance because these measures",can reflect conditions unrelated to performance.,are not changed by managerial decision-making.,tend to focus on specific units and/or departments.,tend to work best in certain industries.,A,can reflect conditions unrelated to performance.,"Can reflect conditions unrelated to performance. Organizational costs, revenue, and profitability are of limited use in measuring supply chain performance because external conditions can cause these measures to fluctuate regardless of supply chain performance. Profitability, for example, can be easily affected by a drop in material costs that are unrelated to any managerial decisions. These measures are also limited in that they are not useful in pinpointing issues in specific departments or units due to interdependence in the supply chain. Even though there are limits to these measures, they can still be useful when considered with other factors. These measures are useful because they can be altered by managerial decisions and because they can be used in a wide variety of industries."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,66,Which of the following might occur during the litigation process:,Jury selection,Online dispute resolution,Arbitration,Attorney recertification,A,Jury selection,"Jury selection. Litigation means taking legal action, or resolving a case through the court system. Not all litigation cases require a jury, but for the ones that do, jury selection is an important part of that process. Arbitration is a form of alternative dispute resolution that attempts to settle a dispute out of the litigation system. Online dispute resolution is a low-cost option for those whose issues are not worth the cost of litigation. Attorney recertification is not a recognized term or process."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,67,Supply chain networks are often,redesigned.,unimportant.,eliminated.,unprofitable.,A,redesigned.,"Redesigned. Factors such as changing laws, new companies, companies going out of business, and material availability can cause companies to redesign their supply chain networks often. Supply chain networks should not be eliminated because they are not unimportant. A properly designed supply chain network should help a company become more profitable."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,68,A steel manufacturing plant was forced to shut down operations for several weeks after being hit by a major tornado. The manufacturing company's __________ is likely to be influenced as a result.,supply chain network,advertising budget,chain of command,marketing department,A,supply chain network,"Supply chain network. Supply chain networks encompass the flow and movement of materials and information among connected organizations. Because of the plant closure, the manufacturer would be unable to provide steel to the distributors and stores that need it. This would result in a disruption of the supply chain network. This situation would probably not influence the company's chain of command, marketing department, or advertising budget."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,69,Which of the following is a strategy to help manage risks in a global supply chain:,Work with experienced partners abroad,Work only within the same time zone,Accept lower quality levels,Hire only local workers,A,Work with experienced partners abroad,"Work with experienced partners abroad. Working with a partner that has experience in a particular market can help companies learn about and mitigate the risks particular to that market. Hiring only local workers will not necessarily help manage risks; in fact, it could bring more risks due to different labor laws. Working within the same time zone might help eliminate some risks, but it will also limit the company's ability to expand into most markets. Finally, accepting lower quality levels will not manage risks; it can create more risk by making the company liable for defects."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,70,Which of the following is a good strategy for protecting digital customer data:,Give employees equal access to customer information,Avoid backing up your work,Use the same password for all accounts,Limit installation of outside software programs,D,Limit installation of outside software programs,"Limit installation of outside software programs. Companies should set clear standards for what employees can install and keep on their computers at work. Outside software programs can bring security risks to a company's network and data. Using the same password for all accounts is not a good strategy, because it makes accounts more vulnerable to hacking. Backing up your work is a good strategy for protecting customer data. Finally, giving all employees access to customer information is risky. Instead, information should be restricted to only those who need it."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,71,An organizational tool that can help you schedule a project and figure out the order of work you need to complete is,a flow chart.,online collaboration platforms.,focus groups.,a to-do list.,A,a flow chart.,A flow chart. Flow charts help you schedule your project and figure out the order of work that you'll need to complete. To-do lists help you keep track of all the tasks you need to accomplish. Online collaboration platforms make it easy to plan your project digitally with others. Focus groups help you collect data from people on a specific topic.
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,72,The best business career prospects are available to candidates who have,earned a bachelor's degree.,a stockbroker's license.,a background in accounting.,earned a high school diploma.,A,earned a bachelor's degree.,"Earned a bachelor’s degree. The best business career prospects are available to candidates who have earned a bachelor’s degree. Some jobs require only a high school diploma, but these are only entry-level jobs. A background in accounting or a stockbroker’s license may be helpful for certain careers or jobs, but neither of these is as useful without the foundation of a bachelor’s degree."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,73,A person who was interested in obtaining a seasonal job in the construction industry might contact a __________ for leads.,local merchant,county office,labor union,family friend,C,labor union,"Labor union. A labor union is a group of workers who have joined together for a common purpose to improve the terms and conditions under which employees work. Local labor unions are good sources for job leads particularly for such industries as construction which usually hires seasonal workers. Many local unions operate some type of worker placement service for industries in their area. County offices, local merchants, and family friends probably would not have helpful information about the availability of seasonal jobs in the construction industry."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,74,"Even though Joseph has worked as an accountant for 20 years, he recently enrolled in a community college course to help him master the new software his department is using. He knows that if he doesn't keep up with current technologies, he could be replaced by a younger worker. This is an example of the importance of __________ in the workplace.",frequent training,ongoing education,mentorship programs,student loan forgiveness,B,ongoing education,"Ongoing education. For employees like Joseph, ongoing education is a way to enhance current skills and gain new skills that can improve employment opportunities and personal achievement. This situation is not an example of the importance of mentorship programs or student loan forgiveness; however, both are beneficial in the workplace. Frequent training is also important at work, but is not demonstrated in this example because Joseph received his additional training outside of the workplace."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,75,The Prater Corporation wants to expand its market share by 6% next year. What type of goal has the company set?,Organizational,Ideological,Financial,Input,A,Organizational,"Organizational. Organizational goals affect the overall organization. Organizational goals may involve things such as increasing efficiency levels, growing the business, or expanding market share. Ideological goals involve the vision and general purpose of the company's existence. Financial goals address the company's income and expenses. Inputs are resources that are used to produce outputs."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,76,Shawna is in charge of helping her company achieve its goals through the proper hiring and use of employees. Which type of business management and administration career does Shawna have?,Supply chain management,Business analytics,Operations management,Human resources management,D,Human resources management,"Human resources management. Helping the company achieve its goals through the proper hiring and use of employees is one common human resources management job duty. This is not a job duty for employees in supply chain management, operations management, or business analytics."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,77,What should a project's statement of work include?,Terms and commitments,The results summary,A request for proposal,Charts and materials,A,Terms and commitments,"Terms and commitments. The statement of work (SOW) is a document that outlines the terms, commitments, and conditions of the project. It includes information about the project's activities, timelines, and deliverables. The project team and the project's stakeholders should agree to the SOW contents before beginning the project. A request for proposal is a document that solicits bids for an activity, project, or order from vendors. A results summary contains the results of the project and is provided to stakeholders upon completion of the project. Charts and materials do not need to be included in the SOW."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,78,Why do project managers develop a work breakdown structure (WBS) for complex projects?,To identify and better manage all project activities,To communicate costs associated with the project,To provide team members with feedback for improvement,To provide stakeholders with project objectives,A,To identify and better manage all project activities,"To identify and better manage all project activities. Work breakdown structure (WBS) is the process of dividing project tasks into meaningful components to complete the project. Dividing the entire project into smaller components helps the project manager identify tasks and effectively schedule, assign, and monitor complex project activities. Project objectives are provided to stakeholders in the statement of work (SOW) document, which may also include information about the costs associated with the project. Although it is important for project managers to provide team members with feedback to improve their performance levels, this is not a primary reason for developing a WBS."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,79,"Corrine is the project manager for a research project. Yesterday, Corrine told one of the project team members that they are responsible for developing the sample plan for a survey. What was Corrine doing?",Evaluating performance,Providing guidance,Monitoring processes,Delegating work,D,Delegating work,"Delegating work. An important aspect of managing a project team is delegating work to team members. Delegating is assigning authority or responsibility to another person. Project managers need to match project tasks and activities with the team members who have the skills and expertise to perform the necessary tasks and activities. Corrine is not monitoring processes, providing guidance, or evaluating performance in the presented situation."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,80,"A florist expects monthly cash sales to be $5,300 and interest income to be $200. Total cost of goods will be $1,750, fixed expenses will be $2,150, and variable expenses will be $1,975. Calculate the cash flow.",-$375,$600,-$325,$650,A,-$375,"-$375. Cash flow is calculated by subtracting total cash paid out from total cash receipts. Total cash receipts include cash sales and interest income ($5,300 + $200 = $5,500). Total cash paid out includes cost of goods, fixed expenses, and variable expenses ($1,750 + $2,150 + $1,975 = $5,875). Subtract total cash paid out from total cash receipts to determine cash flow ($5,500 - $5,875 = $-375)."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,81,Which of the following is an activity associated with the closing phase of a project:,Holding a team meeting to evaluate the project's successes and mistakes,Determining the appropriate computer technology needs,Developing a production schedule for team members,"Obtaining funds, equipment, and supplies for the project",A,Holding a team meeting to evaluate the project's successes and mistakes,"Holding a team meeting to evaluate the project's successes and mistakes. Project managers and team members often meet at the end of the project (close) to discuss the things that went well during the project and the mistakes made along the way. Evaluating the successes and mistakes made during the course of the project helps the project manager and team members determine how to improve or better handle similar projects in the future. Obtaining resources, determining technology needs, and developing a production schedule are project-planning activities."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,82,"When executing a project, the project manager must often",form a steering committee.,revise stakeholder requirements.,update the project plan.,develop a project charter.,C,update the project plan.,"Update the project plan. During the execution phase of the project, project team members carry out project tasks. During that time, the project manager is highly involved in controlling activities, such as monitoring the work effort. While monitoring the work effort, the project manager may detect problems. Sometimes, processes, tasks, and budgets need to be changed or corrected. Therefore, the project manager may need to update the project plan when changes occur. The project manager develops the project charter during the initiation phase and, if necessary, forms a steering committee during the project-definition phase. The project's sponsors (stakeholders) would determine changes to their requirements and advise the project manager to implement the revisions."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,83,"While sequencing the necessary activities for a new construction project, a homebuilder determines that the walls cannot be painted until the drywall has been completed. This is an example of which type of dependency?",Finish-to-finish,Start-to-finish,Finish-to-start,Start-to-start,C,Finish-to-start,"Finish-to-start. Finish-to-start dependency is a logical relationship in which a successor activity cannot start until a previous activity has finished. In the given scenario, it would be impossible for the construction team to start painting walls if the drywall installation has not been finished. A finish-to-finish dependency is a logical relationship in which a successor activity cannot finish until a predecessor has finished. A start-to-start relationship describes a situation in which a successor activity cannot start until a predecessor activity has started. A start-to-finish relationship occurs when a successor activity cannot finish until a predecessor activity has started. None of these three dependencies describes the homebuilder's situation."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,84,The Page-Turner Online Bookstore sent a questionnaire to its customers to determine how happy its customers are with its services. Customers' general responses indicated that the bookstore's lead and delivery times have improved a lot in the past three months. What aspect of quality has the bookstore evaluated?,Safety,Satisfaction,Customization,Durability,B,Satisfaction,"Satisfaction. If customers are not satisfied with a business's goods and services, they will start buying from competitors. Therefore, businesses need to continuously monitor customer-satisfaction levels and take steps to maintain or improve satisfaction levels. Quality improvement involves using a systematic approach to increase the levels of excellence in relation to a process, good, or service. In the example, the bookstore surveyed customers to obtain their opinions about the store's goods and services, which will provide input about the customers' level of satisfaction. The example does not indicate if product durability, safety, or customization were topics included in the survey."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,85,The focus of the Six Sigma framework involves maximizing overall quality and,emphasizing innovation.,preventing problems.,hiring qualified employees.,expanding product lines.,B,preventing problems.,"Preventing problems. Six Sigma is a quality improvement framework that involves continuously setting higher goals of perfection. The framework builds upon previous goals to set higher goals that continuously improve the quality of the business's goods, services, or processes. The steps the business takes to improve quality help prevent problems in the future. Hiring qualified employees is a human resources activity. Expanding product lines is a product/service management consideration. Critics of Six Sigma claim that the framework tends to stifle innovation because the focus is on continuously improving existing processes."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,86,Which of the following is a potential benefit of implementing continuous quality improvement processes:,Lower productivity,Higher costs,Increased revenue,Decreased demand,C,Increased revenue,"Increased revenue. Continuous improvement is an ongoing process that looks for ways to increase the levels of excellence in relation to a process, good, or service. Potential benefits of improved processes often increase productivity, which lowers costs and increases revenue. When quality improves, customer satisfaction levels often increase, which often results in a higher demand for the business's goods and services."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,87,During which stage of the PDCA continuous improvement process does a business decide to implement a change on a widespread basis?,Do,Check,Plan,Act,D,Act,"Act. The first step in the PDCA continuous improvement technique is planning a change. During the second step of the process, the business implements (does) the small-scale change. The third step involves checking the results to determine if the small-scale change was effective. If the change was successful, then the business acts to implement the change on a larger scale."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,88,What is the most ethical way to handle product liabilities?,Provide warnings on labels,Make sure customers won't be harmed,Avoid conflicts of interest,Have a strong legal team in place,B,Make sure customers won't be harmed,"Make sure customers won't be harmed. Many products carry the risk of harming or injuring customers. Risk management is concerned with protecting companies from being liable if their products cause harm. However, companies also need to consider the ethics of product safety. Merely providing warning labels is not necessarily ethical; instead, companies should make sure that their products do not do any harm. Having a strong legal team in place and avoiding conflicts of interest are not related to the ethical handling of product liabilities."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,89,Siobhan is utilizing risk-management technology to quantify the potential losses that her company would incur if a tornado destroyed its largest manufacturing plant. What technique is Siobhan using to forecast the likely losses?,Risk transference,Cost-benefit analysis,Risk modeling,Fundamental analysis,C,Risk modeling,"Risk modeling. Businesses commonly use risk modeling to quantify the potential losses that they would incur if certain events took place, such as a tornado destroying a company's largest manufacturing plant. Because risk modeling is a very complex process, businesses usually rely on risk-management technology to aid in the analyses and forecasts. Cost-benefit analysis involves quantifying the costs and benefits of a certain project to determine the most appropriate course of action to pursue. Risk transference is a risk-response strategy that involves moving the impact of a risk to someone or something else. In investing, fundamental analysis is the study of all aspects of a company in an effort to understand its intrinsic value."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,90,One way to ensure a good vendor/supplier relationship is to make sure your contract is clear for both parties. This will help you,make your expectations known early.,separate the people from the company.,understand that they have other customers.,learn the marketplace.,A,make your expectations known early.,"Make your expectations known early. Defining your expectations as clearly as possible in the contract will help ensure a good vendor/supplier relationship. Although separating the people from the company, understanding that the supplier has other customers, and learning the marketplace are all smart tactics to ensure a good relationship, none of these are achieved in the contract."
